user_active_degree,is_live_streamer,is_video_author,follow_user_num_range,fans_user_num_range,friend_user_num_range,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat6,onehot_feat9,onehot_feat10,onehot_feat11
4,1,1,7,3,4,5,1,1,29,0,6,3,0
4,0,1,4,2,2,5,1,3,2,0,6,2,2
4,0,1,0,2,2,1,1,0,2,0,5,2,2
4,1,1,5,6,5,5,0,2,2,0,6,2,2
4,0,1,4,2,2,5,0,6,28,0,3,3,0
4,0,1,1,2,2,5,1,3,19,1,5,3,0
4,0,0,5,2,5,5,0,5,10,0,4,2,0
4,0,1,7,2,4,5,1,4,29,0,3,3,0
5,0,1,4,2,5,5,1,1,29,0,3,3,0
0,0,1,5,1,2,0,0,4,19,1,3,3,0
4,0,1,1,1,0,5,1,4,10,0,6,2,0
7,1,1,4,3,1,5,1,1,2,1,3,3,2
4,1,1,4,3,1,5,0,2,29,0,6,2,0
4,0,1,1,3,4,5,0,2,19,1,3,3,0
4,1,1,7,2,6,5,1,4,19,0,1,3,0
4,0,1,4,3,1,5,0,2,2,1,1,3,2
4,0,1,5,2,5,5,1,4,31,0,4,2,0
4,0,1,7,3,4,5,0,4,29,1,1,3,0
4,1,1,7,3,1,5,1,4,19,0,1,3,0
7,0,1,4,3,1,5,0,1,29,1,2,2,0
5,0,0,5,1,0,1,0,4,29,0,1,4,0
4,1,1,3,6,3,5,0,2,29,0,1,4,0
7,0,0,1,0,0,4,1,1,19,0,1,0,0
4,0,1,4,3,3,5,1,5,9,0,1,3,0
5,1,1,1,2,5,5,0,4,10,0,2,4,0
4,1,1,4,3,5,5,0,4,2,1,4,2,2
4,0,1,4,2,4,5,1,6,29,1,5,3,0
7,0,1,7,1,2,5,1,1,2,1,3,0,1
7,1,1,7,3,1,1,0,2,19,0,1,3,0
5,1,1,4,3,3,5,1,1,2,1,6,3,2
5,0,1,4,2,6,5,0,5,29,0,1,3,0
4,1,1,7,6,1,5,1,5,29,0,1,3,0
5,0,1,4,2,5,5,0,1,19,1,3,4,0
4,0,1,4,1,2,5,0,4,10,0,5,2,0
4,0,1,4,1,2,5,0,4,19,0,6,0,0
4,0,1,4,3,5,5,0,4,10,0,1,3,0
4,0,0,1,1,2,5,0,4,31,1,6,0,0
4,0,1,1,1,2,5,0,4,2,1,6,2,2
4,0,1,7,3,6,5,1,2,31,1,4,2,0
5,1,1,2,1,5,5,0,3,2,1,6,2,2
4,0,1,7,3,3,3,0,5,19,1,6,2,0
5,0,1,1,2,5,1,0,0,2,0,1,2,2
